step      Walk1           Walk2           Walk3           Walk4           Walk5           Walk6           Walk7      
           x1      y1      x2      y2      x3      y3      x4      y4      x5      y5      x6      y6      x7      y7
98     -1.709  14.222  -0.218  -4.552   0.248  -0.001  -8.837  -0.994  -8.789  -1.617   1.484  -6.159   9.524   5.243
99     -2.558  14.750  -0.884  -5.297  -0.560  -0.591  -9.404  -1.817  -7.855  -1.974   2.436  -6.465  10.178   6.000
100    -1.926  15.524  -1.357  -6.179   0.097  -1.346  -8.849  -2.649  -8.824  -2.224   1.689  -5.801   9.256   6.387
101    -2.867  15.862  -1.860  -5.314  -0.691  -0.730  -9.502  -3.407  -8.782  -1.225   0.901  -5.184   8.271   6.562
102    -3.655  16.477  -2.821  -5.040  -0.164   0.120 -10.184  -4.138  -7.782  -1.215   1.151  -4.216   7.709   5.735
103    -4.517  16.985  -2.200  -4.257   0.530  -0.600  -9.347  -4.684  -6.872  -1.628   2.036  -3.750   7.847   6.726
104    -3.849  17.729  -2.092  -3.263   1.286   0.055 -10.341  -4.787  -5.980  -1.176   2.861  -3.185   7.156   6.002
105    -2.932  17.331  -2.804  -3.965   1.918  -0.720  -9.350  -4.919  -6.740  -0.526   1.913  -3.504   8.014   6.516
106    -3.206  18.292  -3.767  -4.233   2.730  -0.137  -9.888  -5.762  -7.222   0.350   2.902  -3.359   8.858   5.980
107    -3.733  19.142  -3.151  -5.021   3.512   0.485  -9.333  -6.594  -7.499   1.311   2.590  -4.309   8.413   5.084
108    -2.871  19.649  -2.173  -4.813   4.164   1.244 -10.209  -6.112  -7.837   2.253   2.016  -5.128   7.613   4.485
109    -3.624  20.306  -3.011  -5.358   4.935   1.881  -9.408  -5.515  -8.344   3.114   1.971  -4.129   7.044   5.307
110    -4.610  20.472  -2.039  -5.591   4.399   1.037  -8.515  -5.964  -8.696   2.178   2.062  -5.125   7.904   4.798
111    -5.389  19.845  -3.032  -5.473   5.260   0.529  -7.516  -6.021  -8.219   1.299   1.846  -6.101   7.282   5.580
112    -4.674  19.147  -2.155  -5.954   4.518   1.199  -6.904  -5.231  -7.220   1.324   0.981  -6.602   7.251   4.581
113    -5.606  18.784  -2.764  -6.747   3.736   0.575  -7.840  -5.584  -8.148   1.696   0.297  -7.332   7.875   3.799
114    -5.492  19.777  -2.151  -7.537   4.150  -0.335  -8.308  -4.701  -7.355   1.087  -0.401  -8.048   7.311   2.973
115    -4.846  19.014  -2.265  -6.543   4.963   0.247  -8.247  -3.703  -6.367   0.930   0.252  -7.291   6.473   2.427
116    -5.226  18.089  -1.361  -6.116   5.159  -0.734  -8.256  -4.703  -7.144   1.559   1.244  -7.416   7.471   2.490
117    -4.412  18.669  -1.820  -5.228   4.320  -0.190  -9.164  -5.122  -7.761   0.773   0.484  -8.066   7.193   3.450
118    -5.292  19.145  -2.277  -6.118   3.604   0.508  -8.814  -4.186  -6.924   1.320   1.219  -7.389   6.236   3.740
119    -6.290  19.209  -3.173  -6.562   4.188  -0.304  -9.814  -4.177  -7.045   2.312   0.545  -8.127   6.599   2.808
120    -7.216  18.833  -3.082  -5.566   3.860   0.641  -9.129  -3.449  -6.188   1.798  -0.190  -7.450   5.850   2.145
121    -7.128  17.837  -2.135  -5.244   2.998   0.134  -8.156  -3.220  -7.173   1.629   0.531  -6.756   6.769   2.539
122    -7.652  18.689  -1.281  -5.763   2.297  -0.580  -7.231  -3.601  -8.087   2.035   1.326  -6.150   7.769   2.566
123    -7.660  19.689  -1.675  -4.844   1.454  -0.042  -6.594  -4.371  -7.601   2.909   0.460  -6.650   8.608   3.110
124    -7.659  18.689  -2.566  -4.390   0.459  -0.140  -7.539  -4.046  -7.486   1.915   0.338  -5.658   8.015   3.915
125    -6.885  18.055  -1.833  -3.710   0.950  -1.011  -8.510  -3.807  -6.581   1.489   0.193  -6.647   8.126   4.909
126    -6.671  19.032  -2.683  -4.236   1.775  -0.445  -7.803  -4.514  -5.636   1.162  -0.305  -5.780   8.958   5.464
127    -5.862  19.619  -3.017  -5.178   2.080  -1.398  -8.662  -5.025  -6.065   0.259  -1.220  -5.376   8.499   4.575
128    -4.871  19.481  -2.037  -5.373   1.155  -1.018  -9.245  -5.837  -5.187  -0.221  -0.512  -4.670   9.448   4.258
129    -5.396  20.333  -1.381  -4.618   0.868  -0.060  -8.261  -5.664  -5.673   0.654   0.458  -4.916   8.513   4.613
130    -4.891  21.196  -2.367  -4.447   0.008   0.451  -7.306  -5.963  -6.248   1.472  -0.519  -5.131   7.886   5.392
131    -3.983  21.615  -3.123  -3.793  -0.985   0.564  -6.694  -5.172  -5.248   1.461   0.397  -5.531   8.721   5.943
132    -3.247  22.292  -3.880  -3.139  -0.264  -0.129  -7.359  -4.425  -5.879   0.686   1.368  -5.773   9.646   5.563
